snapping %d objects to the ground	snapping %d objects to the ground	正在将 %d 个物体吸附到地面	正在將 %d 個物件吸附至地面	Richte %d Objekte am Boden aus	Alignement de %d objets au sol	오브젝트 %d개를 지면에 맞추는 중	オブジェクト%d個を地面にスナップ中	Ajustando %d objetos al suelo	Alinhando %d objetos ao chão	Привязка объектов к земле: %d	%d nesne zemine hizalanıyor
New	New	新建	新增	Neu	Nouveau	새로 만들기	新規作成	Nuevo	Novo	Создать	Yeni
Save	Save	保存	儲存	Speichern	Enregistrer	저장	保存	Guardar	Salvar	Сохранить	Kaydet
Save back	Save back	保存回项目	儲存回專案	Zurückspeichern	Enregistrer dans le projet	프로젝트에 저장	プロジェクトに保存	Guardar en el proyecto	Salvar no projeto	Сохранить в проект	Projeye kaydet
Overwrite	Overwrite	覆盖	覆寫	Überschreiben	Écraser	덮어쓰기	上書き	Sobrescribir	Sobrescrever	Перезаписать	Üzerine yaz
Save the changes	Save the changes	保存更改	儲存變更	Änderungen speichern	Enregistrer les modifications	변경 사항 저장	変更を保存	Guardar cambios	Salvar alterações	Сохранить изменения	Değişiklikleri kaydet
Overwrite this project	Overwrite this project	覆盖此项目	覆寫此專案	Dieses Projekt überschreiben	Écraser ce projet	이 프로젝트 덮어쓰기	このプロジェクトを上書き	Sobrescribir este proyecto	Sobrescrever este projeto	Перезаписать проект	Bu projenin üzerine yaz
Load	Load	加载	載入	Laden	Charger	불러오기	読み込む	Cargar	Carregar	Загрузить	Yükle
Replace all	Replace all	全部替换	全部取代	Alles ersetzen	Tout remplacer	모두 교체	すべて置換	Reemplazar todo	Substituir tudo	Заменить всё	Tümünü değiştir
Select all of them	Select all of them	全选这些物体	全選這些物件	Alle auswählen	Tout sélectionner	모두 선택	すべて選択	Seleccionarlos todos	Selecionar todos	Выбрать все	Tümünü seç
autoload	autoload	自动加载	自動載入	Automatisch laden	Chargement auto	자동 불러오기	自動読み込み	Carga automática	Carregamento automático	Автозагрузка	Otomatik yükleme
(none yet)	(none yet)	（暂无）	（尚無）	(noch keine)	(aucun pour l’instant)	(아직 없음)	（まだありません）	(ninguno aún)	(nenhum ainda)	(пока нет)	(henüz yok)
objects in scene: %d   spawns pending: %d	objects in scene: %d   spawns pending: %d	场景物体：%d   待生成：%d	場景物件：%d   待生成：%d	Objekte in Szene: %d   ausstehende Spawns: %d	Objets dans la scène : %d   apparitions en attente : %d	장면 오브젝트: %d   생성 대기: %d	シーン内オブジェクト: %d   生成待ち: %d	Objetos en escena: %d   pendientes de generar: %d	Objetos na cena: %d   gerações pendentes: %d	Объектов на сцене: %d   ожидают создания: %d	Sahnedeki nesneler: %d   oluşturma bekliyor: %d
Delete all objects	Delete all objects	删除全部物体	刪除所有物件	Alle Objekte löschen	Supprimer tous les objets	모든 오브젝트 삭제	すべてのオブジェクトを削除	Eliminar todos los objetos	Excluir todos os objetos	Удалить все объекты	Tüm nesneleri sil
objects %d  |  %s	objects %d  |  %s	场景物体 %d  |  %s	場景物件 %d  |  %s	Objekte %d  |  %s	Objets %d  |  %s	장면 오브젝트 %d  |  %s	シーン内オブジェクト %d  |  %s	Objetos en escena %d  |  %s	Objetos na cena %d  |  %s	Объектов на сцене: %d  |  %s	Sahnedeki nesne %d  |  %s
HTTP API for programs on this PC	HTTP API for programs on this PC	供此电脑上的程序使用的 HTTP API	供此電腦上的程式使用的 HTTP API	HTTP-API für Programme auf diesem PC	API HTTP pour les programmes de ce PC	이 PC의 프로그램용 HTTP API	このPC上のプログラム向けHTTP API	API HTTP para programas de este PC	API HTTP para programas neste PC	HTTP API для программ на этом ПК	Bu bilgisayardaki programlar için HTTP API
port	port	端口	連接埠	Port	Port	포트	ポート	Puerto	Porta	Порт	Bağlantı noktası
running: %s	running: %s	运行中：%s	執行中：%s	Läuft: %s	En cours : %s	실행 중: %s	実行中: %s	En ejecución: %s	Em execução: %s	Работает: %s	Çalışıyor: %s
copy URL	copy URL	复制 URL	複製 URL	URL kopieren	Copier l’URL	URL 복사	URLをコピー	Copiar URL	Copiar URL	Копировать URL	URL'yi kopyala
not running: %s	not running: %s	未运行：%s	未執行：%s	Läuft nicht: %s	Arrêté : %s	실행되지 않음: %s	未実行: %s	No está en ejecución: %s	Não está em execução: %s	Не запущено: %s	Çalışmıyor: %s
starting	starting	正在启动	正在啟動	Wird gestartet	Démarrage	시작 중	起動中	Iniciando	Iniciando	Запускается	Başlatılıyor
retry	retry	重试	重試	Erneut versuchen	Réessayer	다시 시도	再試行	Reintentar	Tentar novamente	Повторить	Yeniden dene
settings	settings	设置	設定	Einstellungen	Paramètres	설정	設定	Ajustes	Configurações	Настройки	Ayarlar
Hotkeys (saved to settings.txt in the cdmodkit folder, active immediately)	Hotkeys (saved to settings.txt in the cdmodkit folder, active immediately)	快捷键（保存在 cdmodkit 文件夹中的 settings.txt，立即生效）	快速鍵（儲存在 cdmodkit 資料夾的 settings.txt，立即生效）	Tastenkürzel (in settings.txt im cdmodkit-Ordner gespeichert, sofort aktiv)	Raccourcis clavier (enregistrés dans settings.txt du dossier cdmodkit, actifs immédiatement)	단축키(cdmodkit 폴더의 settings.txt에 저장되며 즉시 적용)	ホットキー（cdmodkitフォルダーのsettings.txtに保存、すぐに反映）	Atajos (se guardan en settings.txt dentro de cdmodkit y se aplican al instante)	Atalhos (salvos em settings.txt na pasta cdmodkit, aplicados imediatamente)	Горячие клавиши (сохраняются в settings.txt в папке cdmodkit и действуют сразу)	Kısayollar (cdmodkit klasöründeki settings.txt dosyasına kaydedilir, hemen uygulanır)
show / hide the editor	show / hide the editor	显示/隐藏编辑器	顯示／隱藏編輯器	Editor ein-/ausblenden	Afficher / masquer l’éditeur	편집기 표시/숨기기	エディターの表示／非表示	Mostrar / ocultar el editor	Mostrar / ocultar o editor	Показать / скрыть редактор	Düzenleyiciyi göster / gizle
edit mode / play mode	edit mode / play mode	编辑模式/游玩模式	編輯模式／遊玩模式	Bearbeiten / Spielen	Mode édition / jeu	편집 모드 / 플레이 모드	編集モード／プレイモード	Modo edición / juego	Modo edição / jogo	Режим редактирования / игры	Düzenleme modu / oyun modu
show calibration marker	show calibration marker	显示校准标记	顯示校準標記	Kalibrierungsmarkierung anzeigen	Afficher le repère de calibrage	보정 마커 표시	キャリブレーションマーカーを表示	Mostrar marcador de calibración	Mostrar marcador de calibração	Показать маркер калибровки	Kalibrasyon işaretini göster
axis gizmo while placing	axis gizmo while placing	放置时显示坐标轴操纵器	放置時顯示座標軸操縱器	Achsen-Gizmo beim Platzieren	Gizmo des axes pendant le placement	배치 중 축 기즈모 표시	配置中に軸ギズモを表示	Mostrar ejes al colocar	Mostrar eixos ao posicionar	Показывать оси при размещении	Yerleştirirken eksen gizmosunu göster
read the field of view from the game	read the field of view from the game	从游戏读取视野角	從遊戲讀取視野角	Sichtfeld aus dem Spiel lesen	Lire le champ de vision du jeu	게임에서 시야각 읽기	ゲームから視野角を取得	Leer el campo de visión del juego	Ler o campo de visão do jogo	Считывать поле зрения из игры	Görüş açısını oyundan oku
manual field of view	manual field of view	手动视野角	手動視野角	Sichtfeld manuell	Champ de vision manuel	수동 시야각	手動視野角	Campo de visión manual	Campo de visão manual	Поле зрения вручную	Elle görüş açısı
mirror horizontally	mirror horizontally	水平镜像	水平鏡像	Horizontal spiegeln	Miroir horizontal	가로로 뒤집기	水平反転	Reflejar horizontalmente	Espelhar horizontalmente	Отразить по горизонтали	Yatay aynala
search now	search now	立即搜索	立即搜尋	Jetzt suchen	Rechercher maintenant	지금 검색	今すぐ検索	Buscar ahora	Buscar agora	Искать сейчас	Şimdi ara
console window (log output; applies on the next start)	console window (log output; applies on the next start)	控制台窗口（日志输出；下次启动时生效）	主控台視窗（記錄輸出；下次啟動時生效）	Konsolenfenster (Protokollausgabe; gilt ab dem nächsten Start)	Fenêtre de console (journal ; appliqué au prochain démarrage)	콘솔 창(로그 출력, 다음 실행부터 적용)	コンソールウィンドウ（ログ出力、次回起動時に適用）	Ventana de consola (registro; se aplica al próximo inicio)	Janela do console (saída de log; aplicado na próxima inicialização)	Окно консоли (вывод журнала; применится при следующем запуске)	Konsol penceresi (kayıt çıktısı; sonraki açılışta uygulanır)
%d objects selected	%d objects selected	已选择 %d 个物体	已選取 %d 個物件	%d Objekte ausgewählt	%d objets sélectionnés	오브젝트 %d개 선택됨	オブジェクト%d個を選択	%d objetos seleccionados	%d objetos selecionados	Выбрано объектов: %d	%d nesne seçildi
%d objects snapped to the ground	%d objects snapped to the ground	已将 %d 个物体吸附到地面	已將 %d 個物件吸附至地面	%d Objekte am Boden eingerastet	%d objets alignés au sol	오브젝트 %d개를 지면에 맞춤	オブジェクト%d個を地面にスナップ	%d objetos ajustados al suelo	%d objetos alinhados ao chão	Объектов на земле: %d	%d nesne zemine hizalandı
Previews are still being rendered: %d of %d done (%d without visible geometry). Empty tiles fill in as they finish, the visible ones are rendered first.	Previews are still being rendered: %d of %d done (%d without visible geometry). Empty tiles fill in as they finish, the visible ones are rendered first.	预览仍在生成：%d/%d 已完成（%d 个没有可见几何体）。完成后空白卡片会逐步填充，优先生成当前可见的卡片。	預覽仍在產生：已完成 %d/%d（%d 個沒有可見幾何）。完成後空白卡片會逐步填入，並優先產生目前可見的卡片。	Vorschauen werden noch erstellt: %d von %d fertig (%d ohne sichtbare Geometrie). Leere Kacheln füllen sich nach und nach; sichtbare zuerst.	Les aperçus sont en cours : %d sur %d terminés (%d sans géométrie visible). Les vignettes vides se rempliront ensuite, en donnant la priorité aux éléments visibles.	미리보기를 생성 중입니다: %d/%d 완료(%d개는 보이는 지오메트리 없음). 빈 카드는 완료되는 대로 채우며 현재 보이는 항목을 우선 처리합니다.	プレビューを生成中：%d/%d完了（%d個は表示ジオメトリなし）。空のタイルは順次埋まり、表示中のものを優先します。	Aún se generan vistas previas: %d de %d listas (%d sin geometría visible). Las tarjetas vacías se completarán después; primero se procesan las visibles.	As prévias ainda estão sendo geradas: %d de %d concluídas (%d sem geometria visível). Os cartões vazios serão preenchidos depois, priorizando os que estão visíveis.	Предпросмотр создаётся: готово %d из %d (%d без видимой геометрии). Пустые карточки заполнятся позже, сначала обрабатываются видимые.	Önizlemeler oluşturuluyor: %d/%d tamamlandı (%d görünür geometri içermiyor). Boş kartlar sırayla doldurulur, görünür olanlara öncelik verilir.
Previews are off: %s	Previews are off: %s	预览已关闭：%s	預覽已關閉：%s	Vorschauen sind deaktiviert: %s	Aperçus désactivés : %s	미리보기가 꺼져 있습니다: %s	プレビューは無効です：%s	Vistas previas desactivadas: %s	Prévias desativadas: %s	Предпросмотр отключён: %s	Önizlemeler kapalı: %s
no collections yet (left pane)	no collections yet (left pane)	还没有收藏集（左侧面板）	還沒有收藏集（左側面板）	Noch keine Sammlungen (linker Bereich)	Aucune collection (panneau de gauche)	아직 컬렉션이 없습니다(왼쪽 패널)	コレクションはまだありません（左ペイン）	Aún no hay colecciones (panel izquierdo)	Ainda não há coleções (painel esquerdo)	Коллекций пока нет (левая панель)	Henüz koleksiyon yok (sol panel)
create a collection in the left pane first	create a collection in the left pane first	请先在左侧面板创建收藏集	請先在左側面板建立收藏集	Erstelle zuerst links eine Sammlung	Créez d’abord une collection dans le panneau de gauche	먼저 왼쪽 패널에서 컬렉션을 만드세요	先に左ペインでコレクションを作成してください	Primero crea una colección en el panel izquierdo	Crie uma coleção primeiro no painel esquerdo	Сначала создайте коллекцию в левой панели	Önce sol panelde bir koleksiyon oluşturun
double-click places	double-click places	双击即可放置	雙擊即可放置	Doppelklick platziert	Double-cliquez pour placer	더블 클릭하면 배치	ダブルクリックで配置	Doble clic para colocar	Clique duas vezes para posicionar	Двойной щелчок размещает	Çift tıklama yerleştirir
select a prefab, then PLACE. Double-click on a row or card places it right away.	select a prefab, then PLACE. Double-click on a row or card places it right away.	选择预制件后点击“放置”。双击列表行或卡片可立即放置。	選取預製件後按「放置」。雙擊清單列或卡片即可立即放置。	Wähle ein Prefab und klicke auf „Platzieren“. Doppelklick auf Zeile oder Kachel platziert sofort.	Sélectionnez un prefab puis cliquez sur « PLACER ». Double-cliquez sur une ligne ou vignette pour le placer immédiatement.	프리팹을 선택한 뒤 배치를 누르세요. 행이나 카드를 두 번 클릭하면 바로 배치됩니다.	Prefabを選んで「配置」を押します。行またはカードをダブルクリックするとすぐ配置します。	Selecciona un prefab y pulsa COLOCAR. Haz doble clic en una fila o tarjeta para colocarlo al instante.	Selecione um prefab e clique em COLOCAR. Dê dois cliques em uma linha ou cartão para posicioná-lo imediatamente.	Выберите префаб и нажмите «Разместить». Двойной щелчок по строке или карточке размещает его сразу.	Prefabı seçip YERLEŞTİR'e basın. Satıra veya karta çift tıklamak hemen yerleştirir.
puts the object in front of you and lets you move it with the placement keys or the mouse gizmo; %s drops it (double-click on a row or card does the same)	puts the object in front of you and lets you move it with the placement keys or the mouse gizmo; %s drops it (double-click on a row or card does the same)	将物体放到你面前，然后可用放置快捷键或鼠标操纵器移动；按 %s 放下（双击列表行或卡片也会这样做）	將物件放到你面前，接著可用放置快速鍵或滑鼠操縱器移動；按 %s 放下（雙擊清單列或卡片也會這樣做）	Platziert das Objekt vor dir. Bewege es mit Platzierungstasten oder Maus-Gizmo; %s legt es ab (Doppelklick auf Zeile oder Kachel ebenso).	Place l’objet devant vous et déplacez-le avec les touches ou le gizmo ; %s le dépose (un double-clic fait de même).	오브젝트를 앞에 놓고 배치 키나 마우스 기즈모로 이동합니다. %s를 누르면 놓습니다(행이나 카드를 두 번 클릭해도 동일).	オブジェクトを目の前に置き、配置キーまたはマウスギズモで移動します。%sで配置（行やカードのダブルクリックも同じ）。	Coloca el objeto delante y permite moverlo con las teclas o el gizmo; %s lo suelta (un doble clic hace lo mismo).	Coloca o objeto à sua frente para movê-lo com as teclas ou o gizmo; %s o solta (dois cliques também fazem isso).	Размещает объект перед вами для перемещения клавишами или мышью; %s опускает его (двойной щелчок делает то же).	Nesneyi önünüze koyar; yerleştirme tuşlarıyla veya fare gizmosuyla taşıyabilirsiniz. %s bırakır (çift tıklama da aynısını yapar).
drops the object in front of you without the placement mode (offset, yaw and scale from the spawn options)	drops the object in front of you without the placement mode (offset, yaw and scale from the spawn options)	不进入放置模式，直接将物体放到你面前（使用生成选项中的偏移、偏航角和比例）	不進入放置模式，直接將物件放到你面前（使用生成選項中的偏移、偏航角與比例）	Legt das Objekt ohne Platzierungsmodus vor dir ab (Versatz, Gierwinkel und Größe aus den Spawn-Optionen).	Dépose l’objet devant vous sans mode placement (décalage, lacet et échelle des options).	배치 모드 없이 오브젝트를 앞에 생성합니다(생성 옵션의 오프셋, 요, 크기 사용).	配置モードに入らず目の前に配置します（生成オプションのオフセット、ヨー、スケールを使用）。	Suelta el objeto delante sin activar el modo de colocación (usa desplazamiento, giro y escala de las opciones).	Solta o objeto à sua frente sem entrar no modo de posicionamento (usa deslocamento, rotação e escala das opções).	Размещает объект перед вами без режима размещения (параметры смещения, угла и масштаба).	Yerleştirme moduna girmeden nesneyi önünüze bırakır (oluşturma seçeneklerindeki ofset, yaw ve ölçek kullanılır).
select a prefab, then PLACE	select a prefab, then PLACE	选择预制件，然后点击“放置”	選取預製件，再按「放置」	Prefab wählen und „Platzieren“ drücken	Sélectionnez un prefab puis cliquez sur « PLACER »	프리팹을 선택한 뒤 배치를 누르세요	Prefabを選択して「配置」を押してください	Selecciona un prefab y pulsa COLOCAR	Selecione um prefab e clique em COLOCAR	Выберите префаб и нажмите «Разместить»	Prefabı seçin ve YERLEŞTİR'e basın
drops the selected objects onto the surface below them (a sphere cast of the game's physics)	drops the selected objects onto the surface below them (a sphere cast of the game's physics)	将所选物体放到下方表面（使用游戏物理进行球体投射）	將所選物件放到下方表面（使用遊戲物理進行球體投射）	Legt ausgewählte Objekte auf der Fläche darunter ab (Kugelabfrage der Spielphysik).	Dépose les objets sélectionnés sur la surface en dessous (requête sphérique de la physique du jeu).	선택한 오브젝트를 아래 표면에 내려놓습니다(게임 물리의 구형 캐스트 사용).	選択したオブジェクトを下の面に配置します（ゲーム物理の球体キャストを使用）。	Coloca los objetos seleccionados sobre la superficie inferior (consulta esférica de la física del juego).	Posiciona os objetos selecionados na superfície abaixo (consulta esférica da física do jogo).	Размещает выбранные объекты на поверхности ниже (сферический запрос физики игры).	Seçili nesneleri altlarındaki yüzeye bırakır (oyunun fizik sisteminde küre taraması).
carry the selection: move it with the placement keys or the mouse gizmo, %s drops it, %s puts it back	carry the selection: move it with the placement keys or the mouse gizmo, %s drops it, %s puts it back	抓取所选物体：用放置快捷键或鼠标操纵器移动；按 %s 放下，按 %s 放回原位	抓取所選物件：用放置快速鍵或滑鼠操縱器移動；按 %s 放下，按 %s 放回原位	Auswahl aufnehmen: mit Platzierungstasten oder Maus-Gizmo bewegen; %s legt ab, %s setzt zurück.	Saisissez la sélection : déplacez-la avec les touches ou le gizmo ; %s dépose, %s remet en place.	선택 항목을 잡아 배치 키나 마우스 기즈모로 이동합니다. %s를 눌러 놓고 %s를 눌러 되돌립니다.	選択したオブジェクトを掴み、配置キーまたはマウスギズモで移動します。%sで配置、%sで元に戻します。	Toma la selección y muévela con las teclas o el gizmo; %s la suelta y %s la devuelve.	Pegue a seleção e mova com as teclas ou o gizmo; %s solta e %s devolve.	Возьмите выделение и перемещайте клавишами или мышью; %s опускает, %s возвращает.	Seçimi alın ve tuşlarla veya fare gizmosuyla taşıyın; %s bırakır, %s geri koyar.
select an object to edit it (Ctrl+click adds, Shift+click selects a range)	select an object to edit it (Ctrl+click adds, Shift+click selects a range)	选择物体以编辑（Ctrl+点击可添加，Shift+点击可选择范围）	選取物件以編輯（Ctrl+點擊可加入，Shift+點擊可選取範圍）	Wähle ein Objekt zum Bearbeiten (Strg-Klick fügt hinzu, Umschalt-Klick wählt einen Bereich).	Sélectionnez un objet à modifier (Ctrl-clic ajoute, Maj-clic sélectionne une plage).	편집할 오브젝트를 선택하세요(Ctrl+클릭으로 추가, Shift+클릭으로 범위 선택).	編集するオブジェクトを選択（Ctrl+クリックで追加、Shift+クリックで範囲選択）。	Selecciona un objeto (Ctrl+clic añade; Mayús+clic selecciona un rango).	Selecione um objeto para editar (Ctrl+clique adiciona; Shift+clique seleciona um intervalo).	Выберите объект (Ctrl+щелчок добавляет, Shift+щелчок выбирает диапазон).	Düzenlemek için nesne seçin (Ctrl+tıklama ekler, Shift+tıklama aralık seçer).
%s (deleted)	%s (deleted)	%s（已删除）	%s（已刪除）	%s (gelöscht)	%s (supprimé)	%s(삭제됨)	%s（削除済み）	%s (eliminado)	%s (excluído)	%s (удалён)	%s (silindi)
off: a click on a member selects only that member (Ctrl+click always toggles single members); the group row selects all	off: a click on a member selects only that member (Ctrl+click always toggles single members); the group row selects all	关闭时：点击组内物体只选中该物体（Ctrl+点击仍会切换单个物体）；点击组行可全选	關閉時：點擊群組內物件只會選取該物件（Ctrl+點擊仍會切換單一物件）；點擊群組列可全選	Aus: Klick wählt nur dieses Objekt (Strg-Klick schaltet einzelne Objekte um); die Gruppenzeile wählt alle.	Désactivé : un clic sélectionne uniquement cet objet (Ctrl-clic bascule les objets individuellement) ; la ligne du groupe sélectionne tout.	끔: 구성원을 클릭하면 해당 오브젝트만 선택합니다(Ctrl+클릭은 개별 선택 전환). 그룹 행은 모두 선택합니다.	オフ：クリックするとそのオブジェクトだけを選択（Ctrl+クリックは個別選択を切替）。グループ行はすべて選択します。	Desactivado: el clic selecciona solo ese objeto (Ctrl+clic alterna objetos individuales); la fila del grupo selecciona todos.	Desativado: o clique seleciona apenas esse objeto (Ctrl+clique alterna objetos individuais); a linha do grupo seleciona todos.	Выкл.: щелчок выбирает только этот объект (Ctrl+щелчок переключает отдельные объекты); строка группы выбирает все.	Kapalı: tıklama yalnızca o üyeyi seçer (Ctrl+tıklama tek nesneleri değiştirir); grup satırı tümünü seçer.
click selects group	click selects group	点击选择整个组	點擊選取整個群組	Klick wählt die Gruppe	Un clic sélectionne le groupe	클릭하면 그룹 선택	クリックでグループを選択	Clic para seleccionar el grupo	Clique para selecionar o grupo	Щелчок выбирает группу	Tıklama grubu seçer
Ctrl+Z/Y undo/redo   Ctrl+C/V copy/paste   Ctrl+G group   Ctrl+A all   Del delete   Ctrl/Shift+click multi-select	Ctrl+Z/Y undo/redo   Ctrl+C/V copy/paste   Ctrl+G group   Ctrl+A all   Del delete   Ctrl/Shift+click multi-select	Ctrl+Z/Y 撤销/重做   Ctrl+C/V 复制/粘贴   Ctrl+G 编组   Ctrl+A 全选   Del 删除   Ctrl/Shift+点击多选	Ctrl+Z/Y 復原/重做   Ctrl+C/V 複製/貼上   Ctrl+G 群組   Ctrl+A 全選   Del 刪除   Ctrl/Shift+點擊多選	Strg+Z/Y Rückgängig/Wiederholen   Strg+C/V Kopieren/Einfügen   Strg+G Gruppieren   Strg+A Alles   Entf Löschen   Strg/Umschalt-Klick Mehrfachauswahl	Ctrl+Z/Y annuler/rétablir   Ctrl+C/V copier/coller   Ctrl+G grouper   Ctrl+A tout   Suppr supprimer   Ctrl/Maj-clic sélection multiple	Ctrl+Z/Y 실행 취소/다시 실행   Ctrl+C/V 복사/붙여넣기   Ctrl+G 그룹   Ctrl+A 전체 선택   Del 삭제   Ctrl/Shift+클릭 다중 선택	Ctrl+Z/Y 元に戻す／やり直し   Ctrl+C/V コピー／貼り付け   Ctrl+G グループ化   Ctrl+A 全選択   Del 削除   Ctrl/Shift+クリックで複数選択	Ctrl+Z/Y deshacer/rehacer   Ctrl+C/V copiar/pegar   Ctrl+G agrupar   Ctrl+A todo   Supr eliminar   Ctrl/Mayús+clic selección múltiple	Ctrl+Z/Y desfazer/refazer   Ctrl+C/V copiar/colar   Ctrl+G agrupar   Ctrl+A tudo   Del excluir   Ctrl/Shift+clique seleção múltipla	Ctrl+Z/Y отменить/повторить   Ctrl+C/V копировать/вставить   Ctrl+G группа   Ctrl+A всё   Del удалить   Ctrl/Shift+щелчок множественный выбор	Ctrl+Z/Y geri al/yinele   Ctrl+C/V kopyala/yapıştır   Ctrl+G grupla   Ctrl+A tümü   Del sil   Ctrl/Shift+tıklama çoklu seçim
full editor	full editor	完整编辑器	完整編輯器	Vollständiger Editor	Éditeur complet	전체 편집기	フルエディター	Editor completo	Editor completo	Полный редактор	Tam düzenleyici
dock	dock	停靠	停靠	Andocken	Anheften	도킹	ドック	Acoplar	Encaixar	Док	Yerleştir
narrow side window: search, cards in one column, PLACE	narrow side window: search, cards in one column, PLACE	窄侧栏：搜索、单列卡片和放置	窄側欄：搜尋、單欄卡片與放置	Schmales Seitenfenster: Suche, einspaltige Karten, Platzieren	Panneau latéral étroit : recherche, cartes en colonne, placer	좁은 측면 창: 검색, 한 열 카드, 배치	狭いサイドウィンドウ：検索、1列カード、配置	Ventana lateral estrecha: buscar, tarjetas en una columna y colocar	Janela lateral estreita: busca, cartões em uma coluna e posicionar	Узкая боковая панель: поиск, карточки в столбец, размещение	Dar yan pencere: arama, tek sütun kartlar, yerleştirme
only the new objects (%d)	only the new objects (%d)	仅新增物体（%d）	僅新增物件（%d）	Nur neue Objekte (%d)	Uniquement les nouveaux objets (%d)	새 오브젝트만(%d)	新しいオブジェクトのみ（%d）	Solo objetos nuevos (%d)	Somente objetos novos (%d)	Только новые объекты (%d)	Yalnızca yeni nesneler (%d)
everything in the scene	everything in the scene	场景中的全部物体	場景中的所有物件	Alles in der Szene	Tout dans la scène	장면의 모든 오브젝트	シーン内のすべて	Todo en la escena	Tudo na cena	Всё на сцене	Sahnedeki her şey
everything: the whole world including loaded projects - they all become part of this one project.\nonly the new objects: what you placed by hand since the last save, so a loaded project stays a project of its own.\nEither way the saved objects belong to this project afterwards, and the scene tab shows them under its name.	everything: the whole world including loaded projects - they all become part of this one project.\nonly the new objects: what you placed by hand since the last save, so a loaded project stays a project of its own.\nEither way the saved objects belong to this project afterwards, and the scene tab shows them under its name.	全部：整个场景（包括已加载的项目）都会保存为此项目的一部分。\n仅新增物体：只保存上次保存后手动放置的物体，已加载的项目仍保持独立。\n无论选择哪项，保存的物体之后都会归属此项目，并在场景标签页中显示在项目名称下。	全部：整個場景（包含已載入的專案）都會成為此專案的一部分。\n僅新增物件：只儲存上次儲存後手動放置的物件，已載入的專案仍維持獨立。\n無論選哪一項，儲存的物件之後都會屬於此專案，並在場景分頁以專案名稱顯示。	Alles: Die ganze Welt einschließlich geladener Projekte wird Teil dieses Projekts.\nNur neue Objekte: Nur seit dem letzten Speichern manuell platzierte Objekte; geladene Projekte bleiben eigenständig.\nIn beiden Fällen gehören die gespeicherten Objekte danach zu diesem Projekt und erscheinen im Szenen-Tab unter seinem Namen.	Tout : le monde entier, projets chargés inclus, devient partie de ce projet.\nNouveaux objets seulement : seuls ceux placés à la main depuis la dernière sauvegarde ; les projets chargés restent indépendants.\nDans les deux cas, les objets enregistrés appartiennent ensuite à ce projet et apparaissent sous son nom dans l’onglet Scène.	전체: 불러온 프로젝트를 포함한 현재 세계 전체가 이 프로젝트에 포함됩니다.\n새 오브젝트만: 마지막 저장 후 직접 배치한 항목만 저장하므로 불러온 프로젝트는 별도로 유지됩니다.\n어느 쪽이든 저장된 오브젝트는 이후 이 프로젝트에 속하며 장면 탭에 프로젝트 이름으로 표시됩니다.	すべて：読み込んだプロジェクトを含む世界全体をこのプロジェクトに保存します。\n新しいオブジェクトのみ：前回保存後に手動配置したものだけを保存し、読み込み済みプロジェクトは独立したままです。\nどちらを選んでも、保存したオブジェクトはこのプロジェクトに属し、シーンタブにその名前で表示されます。	Todo: el mundo completo, incluidos los proyectos cargados, pasa a formar parte de este proyecto.\nSolo los nuevos: guarda lo colocado manualmente desde la última vez; los proyectos cargados siguen separados.\nEn ambos casos, los objetos guardados pertenecerán a este proyecto y aparecerán con su nombre en la pestaña Escena.	Tudo: o mundo inteiro, incluindo projetos carregados, passa a fazer parte deste projeto.\nSomente os novos: salva apenas o que foi colocado manualmente desde o último salvamento; projetos carregados permanecem separados.\nEm ambos os casos, os objetos salvos passam a pertencer a este projeto e aparecem com o nome dele na aba Cena.	Всё: весь мир, включая загруженные проекты, станет частью этого проекта.\nТолько новые: сохраняются объекты, размещённые вручную после последнего сохранения; загруженные проекты остаются отдельными.\nВ любом случае объекты будут принадлежать этому проекту и отображаться под его именем во вкладке «Сцена».	Tümü: yüklenen projeler dahil tüm dünya bu projenin parçası olur.\nYalnızca yeniler: son kayıttan beri elle yerleştirilenleri kaydeder; yüklenen projeler ayrı kalır.\nHer durumda kaydedilen nesneler bu projeye ait olur ve Sahne sekmesinde adıyla görünür.
